AUDTHB,Date
30.08,2-Jan-06
30.16,3-Jan-06
30.195,4-Jan-06
30.05,5-Jan-06
29.99,6-Jan-06
29.955,9-Jan-06
29.805,10-Jan-06
29.94,11-Jan-06
29.63,12-Jan-06
29.895,13-Jan-06
29.93,16-Jan-06
29.91,17-Jan-06
29.51,18-Jan-06
29.325,19-Jan-06
29.335,20-Jan-06
29.5,23-Jan-06
29.565,24-Jan-06
29.465,25-Jan-06
29.285,26-Jan-06
29.245,27-Jan-06
29.28,30-Jan-06
29.54,31-Jan-06
29.585,1-Feb-06
29.66,2-Feb-06
29.49,3-Feb-06
29.275,6-Feb-06
29.3,7-Feb-06
29.35,8-Feb-06
29.285,9-Feb-06
28.945,10-Feb-06
28.91,13-Feb-06
29.19,14-Feb-06
29.025,15-Feb-06
29.09,16-Feb-06
29,17-Feb-06
29.16,20-Feb-06
29.14,21-Feb-06
29.12,22-Feb-06
29.045,23-Feb-06
29.12,24-Feb-06
28.91,27-Feb-06
29.045,28-Feb-06
28.965,1-Mar-06
28.965,2-Mar-06
28.96,3-Mar-06
28.735,6-Mar-06
28.655,7-Mar-06
28.82,8-Mar-06
28.775,9-Mar-06
28.635,10-Mar-06
28.76,13-Mar-06
28.895,14-Mar-06
28.93,15-Mar-06
28.855,16-Mar-06
28.235,17-Mar-06
27.92,20-Mar-06
27.85,21-Mar-06
28.035,22-Mar-06
27.96,23-Mar-06
27.68,24-Mar-06
27.425,27-Mar-06
27.415,28-Mar-06
27.555,29-Mar-06
27.76,30-Mar-06
27.845,31-Mar-06
27.78,3-Apr-06
27.745,4-Apr-06
27.865,5-Apr-06
27.955,6-Apr-06
27.74,7-Apr-06
27.755,10-Apr-06
27.935,11-Apr-06
27.865,12-Apr-06
27.735,13-Apr-06
27.735,14-Apr-06
28.005,17-Apr-06
28.085,18-Apr-06
28.25,19-Apr-06
27.895,20-Apr-06
28.055,21-Apr-06
27.935,24-Apr-06
28.075,25-Apr-06
28.37,26-Apr-06
28.375,27-Apr-06
28.44,28-Apr-06
28.455,1-May-06
28.6,2-May-06
29.055,3-May-06
29.115,4-May-06
