Date,AUDTHB,AUDJPY,AUDUSD
2-Jan-06,30.08,86.47,0.7331
3-Jan-06,30.16,85.96,0.7398
4-Jan-06,30.195,86.72,0.7478
5-Jan-06,30.05,86.63,0.7475
6-Jan-06,29.99,86.28,0.7541
9-Jan-06,29.955,86.2,0.7542
10-Jan-06,29.805,85.63,0.7488
11-Jan-06,29.94,86.2,0.755
12-Jan-06,29.63,85.74,0.7503
13-Jan-06,29.895,86.23,0.755
16-Jan-06,29.93,86.69,0.7547
17-Jan-06,29.91,86.81,0.7522
18-Jan-06,29.51,86.11,0.7474
19-Jan-06,29.325,86.23,0.7471
20-Jan-06,29.335,86.25,0.748
23-Jan-06,29.5,86.19,0.7535
24-Jan-06,29.565,86.16,0.7519
25-Jan-06,29.465,87.17,0.7533
26-Jan-06,29.285,87.5,0.7517
27-Jan-06,29.245,87.88,0.7496
30-Jan-06,29.28,88.02,0.7485
31-Jan-06,29.54,88.97,0.7587
1-Feb-06,29.585,88.88,0.7527
2-Feb-06,29.66,89.27,0.7533
3-Feb-06,29.49,89.06,0.7492
6-Feb-06,29.275,88.34,0.742
7-Feb-06,29.3,87.4,0.74
8-Feb-06,29.35,87.61,0.7391
9-Feb-06,29.285,87.89,0.7399
10-Feb-06,28.945,86.94,0.7373
13-Feb-06,28.91,86.78,0.7373
14-Feb-06,29.19,87.11,0.742
15-Feb-06,29.025,86.99,0.738
16-Feb-06,29.09,86.91,0.7389
17-Feb-06,29,87.36,0.739
20-Feb-06,29.16,87.64,0.7412
21-Feb-06,29.14,87.71,0.7389
22-Feb-06,29.12,87.27,0.7363
23-Feb-06,29.045,86.53,0.7389
24-Feb-06,29.12,86.45,0.7396
27-Feb-06,28.91,85.68,0.7369
28-Feb-06,29.045,85.97,0.7425
1-Mar-06,28.965,86.47,0.7447
2-Mar-06,28.965,86.72,0.7485
3-Mar-06,28.96,86.77,0.7451
6-Mar-06,28.735,87.05,0.7404
7-Mar-06,28.655,86.47,0.7333
8-Mar-06,28.82,86.52,0.734
9-Mar-06,28.775,86.8,0.7346
10-Mar-06,28.635,87.02,0.7318
13-Mar-06,28.76,87.33,0.7349
14-Mar-06,28.895,86.65,0.7373
15-Mar-06,28.93,86.69,0.739
16-Mar-06,28.855,86.2,0.7379
17-Mar-06,28.235,84.31,0.7277
20-Mar-06,27.92,83.73,0.7203
21-Mar-06,27.85,84.04,0.7164
22-Mar-06,28.035,84.1,0.719
