Date,US_THB,US_AUD,US_JPY
2-Jan-06, , , 
3-Jan-06,40.76,0.7379,116.34
4-Jan-06,40.43,0.7465,116.31
5-Jan-06,40.26,0.7482,115.96
6-Jan-06,39.83,0.7528,114.45
9-Jan-06,39.73,0.7517,114.66
10-Jan-06,39.79,0.749,114.64
11-Jan-06,39.66,0.7558,113.96
12-Jan-06,39.42,0.7512,114.31
13-Jan-06,39.49,0.7535,114.43
16-Jan-06, , , 
17-Jan-06,39.75,0.7517,115.83
18-Jan-06,39.42,0.7488,115.35
19-Jan-06,39.24,0.7469,115.07
20-Jan-06,39.15,0.747,115.42
23-Jan-06,39.14,0.7523,114.67
24-Jan-06,39.31,0.7516,114.54
25-Jan-06,39.07,0.7535,115.73
26-Jan-06,38.93,0.7532,116.27
27-Jan-06,39,0.7518,117.16
30-Jan-06,39.1,0.7497,117.55
31-Jan-06,38.89,0.7572,116.88
1-Feb-06,39.26,0.7542,117.85
2-Feb-06,39.36,0.7548,118.26
3-Feb-06,39.41,0.7491,118.95
6-Feb-06,39.41,0.7426,118.94
7-Feb-06,39.55,0.7436,118.01
8-Feb-06,39.7,0.7393,118.69
9-Feb-06,39.57,0.7396,118.66
10-Feb-06,39.15,0.7379,117.64
13-Feb-06,39.22,0.7396,117.63
14-Feb-06,39.32,0.7389,117.43
15-Feb-06,39.36,0.7403,117.93
16-Feb-06,39.28,0.738,117.91
17-Feb-06,39.31,0.7385,118.43
20-Feb-06, , , 
21-Feb-06,39.3,0.7394,118.85
22-Feb-06,39.52,0.7363,118.51
23-Feb-06,39.21,0.7397,117
24-Feb-06,39.36,0.7399,116.87
27-Feb-06,39.14,0.7387,115.97
28-Feb-06,39.09,0.743,115.82
1-Mar-06,38.85,0.7429,116.18
2-Mar-06,38.62,0.7458,116.07
3-Mar-06,38.86,0.744,116.46
6-Mar-06,38.76,0.7409,117.46
7-Mar-06,39.01,0.7336,117.76
8-Mar-06,39.14,0.7319,117.9
9-Mar-06,39.12,0.7354,117.96
10-Mar-06,39.1,0.731,119.07
13-Mar-06,39.14,0.7326,119.01
14-Mar-06,39.13,0.7362,117.36
15-Mar-06,39.14,0.738,117.3
16-Mar-06,39.06,0.735,117.13
17-Mar-06,38.94,0.7291,115.89
20-Mar-06,38.7,0.7223,116.25
21-Mar-06,38.84,0.716,117.23
22-Mar-06,38.92,0.7204,116.72
23-Mar-06,39.06,0.7145,117.6
24-Mar-06,39.06,0.7107,117.5
27-Mar-06,38.84,0.7056,116.62
28-Mar-06,38.91,0.7086,117.23
29-Mar-06,38.91,0.7058,117.8
30-Mar-06,38.83,0.714,117.41
31-Mar-06,38.84,0.7165,117.48
3-Apr-06,38.81,0.7177,117.82
4-Apr-06,38.49,0.7203,117.44
5-Apr-06,38.22,0.7263,117.59
6-Apr-06,38.23,0.7315,117.72
7-Apr-06,38.12,0.7279,118.31
